Year,Employment status,Percent,Count
2020,Employed,21%,2468
2020,Unemployed,79%,9283
2019,Employed,22%,2464
2019,Unemployed,78%,8735
2018,Employed,20%,2422
2018,Unemployed,80%,9690
2017,Employed,29%,3376
2017,Unemployed,71%,8267
